title,director,cast,country,subgenre
Redux Redux,"Kevin McManus , Matthew McManus","Stella Marcus, Michaela McManus , Jeremy Holm, Jim Cummings , Grace Van Dien , Dendrie Taylor, Taylor Misiak",United States,Science Fiction Crime Thriller
Revelations,Yeon Sang-ho,"Ryu Jun-yeol , Shin Hyun-been",South Korea,Mystery Thriller
Rob1n,Lawrence Fowler,"Leona Clarke, Michaela McCormick, Victor Mellors",United Kingdom,Horror
Rosario,Felipe Vargas,"Emeraude Toubia , David Dastmalchian , José Zúñiga , Diana Lein, Paul Ben-Victor , Guillermo García , Isabella Hoyos",United States,Horror
Round the Decay,Adam Newman,"Victoria Mirrer, Damian Maffei , Sienna Hubert-Ross, Cary Hite, Alexis Safoyan, Rachel Pizzolato, Phil Duran",United States,Monster
Sardaar Ji 3,Amar Hundal,"Diljit Dosanjh , Neeru Bajwa , Hania Aamir , Jasmin Bajwa , Gulshan Grover , Manav Vij",India,Horror Comedy
Savage Hunt,Roel Reiné,"James Oliver Wheatley, Colin Mace, Anthony Barclay",United States,"Thriller, Action"
Screamboat,Steven LaMorte,"David Howard Thornton , Allison Pittel, Amy Schumacher, Jesse Posey, Jesse Kove , Rumi C Jean-Louis, Jarlath Conroy , Charles Edwin Powell",United States,Slasher
Shadow of God,Michael Peterson,"Mark O'Brien , Jacqueline Byers , Shaun Johnston",Canada,Supernatural Horror
"Shake, Rattle & Roll Evil Origins","Shugo Praico, Joey de Guzman, Ian Loreños","Richard Gutierrez , Ivana Alawi , Carla Abellana , Janice de Belen , Manilyn Reynes , Loisa Andalio , Francine Diaz , Seth Fedelin , Fyang Smith , JM Ibarra , Dustin Yu , Ysabel Ortega , Ashley Ortega",Philippines,Horror Anthology
Shelby Oaks,Chris Stuckmann,"Camille Sullivan , Brendan Sexton III , Michael Beach , Sarah Durn, Robin Bartlett , Keith David",United States,Supernatural Horror Mystery
Shiver Me Timbers,Paul Stephen Mann,"Murdo Adams, Stephen Corrall, Tony Greer, Yu Heng Li, Amy Mackie",United Kingdom,Splatter Comedy Horror
"Silent Night, Deadly Night",Mike P. Nelson,"Rohan Campbell , Ruby Modine , Mark Acheson , David Lawrence Brown, David Tomlinson",United States,Horror
Silent Zone,Peter Deak,"Matt Devere, Luca Papp, Nikolett Barabas, Declan Hannigan, Alexis Latham",Hungary,Survival Apocalyptic Horror
Singsot,Wahyu Agung Prasetyo,"Ardhana Jovin Aska Haryanto, Landung Simatupang, Jamaluddin Latif",Indonesia,Folk Horror
Sinners,Ryan Coogler,"Michael B. Jordan , Hailee Steinfeld , Jack O'Connell , Wunmi Mosaku , Jayme Lawson , Omar Benson Miller , Delroy Lindo",United States,Horror
Site,Jason Eric Perlman,"Jake McLaughlin , Theo Rossi , Arielle Kebbel , Miki Ishikawa , Yoson An , Danni Wang",United States,"Science Fiction, Horror, Thriller"
Skillhouse,Josh Stolberg,"50 Cent , Neal McDonough , Leah Pipes , Caitlin Carmichael , Hannah Stocking , Bryce Hall",United States,Horror
Skyline: Warpath,Liam O'Donnell,"Iko Uwais , Scott Adkins , Louis Mandylor , Randall Bacon , Yayan Ruhian",United States,Science fiction Action Horror
Sleep No More,Edwin,"Rachel Amanda , Lutesha , Iqbaal Ramadhan",Indonesia,Fantasy Horror
Stay,Jas Summers,"Megalyn Echikunwoke , Mo McRae , Dominic Stephens",United States,Horror
Stigmatized Properties: Possession,Hideo Nakata,"Shota Watanabe, Miku Hatta, Kōtarō Yoshida",Japan,Horror Thriller
Sugar Mill,Awi Suryadi,"Arbani Yasiz, Ersya Aurelia, Erika Carlina",Indonesia,Folk Horror
Teaching Practice: Idiot Girls and School Ghost 2,Kim Min-ha,"Han Sun-hwa , Yoo Seon-ho , Hong Ye-ji , Lee Yeo-reum",South Korea,Comedy Horror
