title,director,cast,country,subgenre
Eye for an Eye,Colin Tilley,"Whitney Peak , Laken Giles, S. Epatha Merkerson , Golda Rosheuvel , Finn Bennett",United States,Horror
F*** Marry Kill,Laura Murphy,"Lucy Hale , Virginia Gardner , Brooke Nevin",United States,Comedy Thriller
Fear Below,Matthew Holmes,"Hermione Corfield , Jake Ryan , Jacob Junior Nayinggul , Arthur Angel , Josh McConville , Maximillian Johnson, Clayton Watson",Australia,Action adventure horror
Fear Street: Prom Queen,Matt Palmer,"India Fowler , Suzanna Son , Fina Strazza , David Iacono , Ella Rubin , Chris Klein , Ariana Greenblatt , Lili Taylor , Katherine Waterston",United States,Horror
Final Destination Bloodlines,"Zach Lipovsky , Adam Stein","Kaitlyn Santa Juana , Teo Briones, Brec Bassinger , Tony Todd",United States,Supernatural horror
Five Nights at Freddy's 2,Emma Tammi,"Josh Hutcherson , Elizabeth Lail , Piper Rubio, Matthew Lillard",United States,Supernatural horror
Flush,Grégory Morin,"Rémy Adriaens, Christophe Bier, Elliot Jenicot",France,Comedy horror
Forgive Us All,Jordana Stott,"Lily Sullivan , Callan Mulvey , Richard Roxburgh",New Zealand,"Neo-Western , Apocalyptic Horror"
For Sale by Exorcist,Melissa LaMartina,"Helenmary Ball, Julian Ball, Emily Classen, John Dimes , Tatiana Ford",United States,Comedy horror
Frankenstein,Guillermo del Toro,"Oscar Isaac , Jacob Elordi , Mia Goth , Lars Mikkelsen , David Bradley , Christian Convery , Charles Dance , Christoph Waltz , Felix Kammerer",United States,Gothic Science Fiction Horror
Fuck My Son!,Todd Rohal,"Tipper Newton , Steve Little , Robert Longstreet , Kynzie Colmery, Macon Blair",United States,Exploitation Comedy
Garden of Eden,Marcel Walz,"Robert Rusler , Monique Parent, Sarah French , Sarah Polednak, Sarah Nicklin , Dazelle Yvette",United States,Horror
Ghost Train,Tak Se-woong,"Joo Hyun-young , Jeon Bae-soo , Choi Bo-min",South Korea,Mystery Horror
Good Boy,Ben Leonberg,"Larry Fessenden , Arielle Friedman, Shane Jensen, Stuart Rudin, Indy",United States,Supernatural horror
Halabala,Eakasit Thairaat,"Chantavit Dhanasevi , Nuttanicha Dungwattanawanich , Anon Saisangcharn",Thailand,Folk Horror
Hallow Road,Babak Anvari,"Rosamund Pike , Matthew Rhys , Megan McDonnell","Czech Republic, Ireland, United Kingdom",Psychological Thriller
Haunted House of Pancakes,Nathan Dalton,"Fabian Guerrero, Jada Krueger, Patrick Johnston, Chris De Christopher, Jason Crowe",United States,Comedy Horror
Haunting of Mount Gede,Azhar Kinoi Lubis,"Arla Ailani, Adzana Ashel, Endy Arfian",Indonesia,Folk horror
Heart Eyes,Josh Ruben,"Olivia Holt , Mason Gooding , Gigi Zumbado , Michaela Watkins , Devon Sawa , Jordana Brewster",United States,Romantic comedy Slasher
Hellcat,Brock Bodell,"Dakota Gorman, Todd Terry",United States,"Horror, Thriller"
Hell House LLC: Lineage,Stephen Cognetti,"Elizabeth Vermilyea, Searra Sawka, Mike Sutton, Joe Bandelli",United States,Found footage Horror
Hidden in the Dark,Kristian Gatto,"Donka Avramova, Marco Benedetti, Velizar Binev",Bulgaria,Supernatural Horror
Him,Justin Tipping,"Marlon Wayans , Tyriq Withers , Julia Fox , Tim Heidecker , Jim Jefferies , Guapdad 4000 , Tierra Whack",United States,Sports horror
Hoba (The Vile),Majid Al Ansari,"Bdoor Mohammad, Sarah Taibah, Iman Tarik, Jasem Alkharraz, Samira Al Wahaibi","United States, United Arab Emirates","Drama, Horror"
Hold the Fort,William Bagley,"Chris Mayers, Levi Burdick, Julian Smith",United States,Comedy Horror
The Holy Boy,Paolo Strippoli,"Michele Riondino , Giulio Feltri, Paolo Pierobon, Romana Maggiora Vergano , Sergio Romano, Roberto Citran",Italy,Horror
Holy Ghost,Shravan Tiwari,"Jenn Osborne, Cleve Langdale, Aaron Blomberg, Maya Adler,",United States,Supernatural horror
Holy Night: Demon Hunters,Lim Dae-hee,"Ma Dong-seok , Seohyun , Lee David , Kyung Soo-jin , Jung Ji-so",South Korea,Action Horror
Home Sweet Home Rebirth,Alex & Steffen,"William Moseley , Michele Morrone , Urassaya Sperbund , Alexander Lee","Thailand, United States",Supernatural horror
House on Eden,Kris Collins,"Kris Collins, Celina Myers, Jason-Christopher Mayer, Carrie Kidd, Barb Thomas",United States,"Found footage, Horror"
Human Hibachi 3: The Last Supper,Mario Cerrito,"Debbie Rochon , Lloyd Kaufman , Jeff Alpert, Wataru Nishida, Mario Cerrito , Stafford Chavis",United States,Found footage Horror Exploitation
I Am Frankelda,Arturo and Roy Ambriz,"Mireya Mendoza, Arturo Mercado Jr., Luis Leonardo Suárez, Carlos Segundo, Beto Castillo, Assira Abbate, Anahí Allué, Arturo Ambriz, Lourdes Ambriz , Roy Ambriz, Antonio Badía, Sergio Carranza, Jesse Conde, Idzi Dulkiewicz, Karla Falcón, Magda Giner, Juan Pablo Monterrubio, Habana Zoe",Mexico,Supernatural comedy horror
I Know What You Did Last Summer,Jennifer Kaytin Robinson,"Freddie Prinze Jr. , Jennifer Love Hewitt , Billy Campbell , Madelyn Cline , Jonah Hauer-King , Sarah Pidgeon , Tyriq Withers , Chase Sui Wonders",United States,Slasher
Ick,Joseph Kahn,"Brandon Routh , Malina Weissman , Harrison Cone, Jeff Fahey , Mena Suvari","United Arab Emirates, United States",Science fiction Comedy horror
In Our Blood,Pedro Kos,"Brittany O'Grady , E. J. Bonilla , Krisha Fairchild , Alanna Ubach",United States,Found Footage Horror
Incarnation,Roh Hong-jin,"Stephanie Lee , Kim Tae-yeon , Lee Shin Sung, Kim Mi-sook",South Korea,Supernatural Horror
Influencers,Kurtis David Harder,"Cassandra Naud , Georgina Campbell , Jonathan Whitesell , Lisa Delamar, Veronica Long, Dylan Playfair",United States,Horror Thriller
Inthralled,Douglas Bankston,"Annie Sullivan, Alanna Hamill Newton, Kelcey Watson",United States,Horror Thriller
Into the Deep,Christian Sesma,"Callum McGowan, Scout Taylor-Compton , Jon Seda , Stuart Townsend , Richard Dreyfuss",United States,Thriller
Isolated,Benedict Mique,"Joel Torre , Yassi Pressman",Philippines,Horror
It Ends,Alexander Ullom,"Phinehas Yoon, Akira Jackson, Noah Toth, Mitchell Cole",United States,Horror
It Feeds,Chad Archibald,"Ashley Greene , Shawn Ashmore , Ellie O'Brien, Juno Rinaldi",Canada,Supernatural Horror
Jalan Pulang,Jeropoint,"Shareefa Daanish, Sujiwo Tejo, Luna Maya , Taskya Namya, Teuku Rifnu Wikana , Kiki Narendra, Ruth Marini, Saskia Chadwick, Raffan Al Aryan, Jajang C. Noer",Indonesia,Supernatural Horror Drama
Jeongbu,Topel Lee,"Aljur Abrenica , Ritz Azul , Empress Schuck",Philippines,Horror
Jujutsu Kaisen: Execution,"Shouta Goshozono, Yôsuke Takada","Shigeru Chiba , Junya Enoki , Wataru Hatano",Japan,Adventure Horror Dark Fantasy
Keeper,Oz Perkins,"Tatiana Maslany , Rossif Sutherland",United States,Horror
Killing Faith,Ned Crowley,"Guy Pearce , DeWanda Wise , Bill Pullman",United States,Supernatural Thriller
KMJS Gabi ng Lagim: The Movie,"King Mark Baco, Jerrold Tarog , Dodo Dayao","Jillian Ward , Elijah Canlas , Sanya Lopez , Miguel Tanfelix",Philippines,Supernatural Horror Anthology
Kraken,Nikolai Lebedev,"Alexander Petrov , Viktor Dobronravov , Aleksei Guskov , Diana Pozharskaya, Anton Rival, Sergei Garmash",Russia,Monster
Lilim,Mikhail Red,"Heaven Peralejo , Eula Valdez , Ryza Cenon",Philippines,Supernatural Horror
